AD_ax (m/s^2),AD_ay (m/s^2),AD_az (m/s^2)
5.210206903716536712e-03,5.035844382080526330e-03,7.978669249586213541e-03
3.688360985870012265e-03,3.556660432835518412e-03,5.618405389429470369e-03
3.015823996706864987e-03,2.884514257730418953e-03,4.602893683485319819e-03
2.619512057329517491e-03,2.502566575577021279e-03,3.972862763411066749e-03
2.333967673573660116e-03,2.230854086379173342e-03,3.565498007816798702e-03
2.139083887350500760e-03,2.036621596581902546e-03,3.246128207667182096e-03
1.967460044756107543e-03,1.876617981217921279e-03,3.004030095067351976e-03
1.855469170644882338e-03,1.776955110543322093e-03,2.810433593610428375e-03
1.744170434503058715e-03,1.673713272450166661e-03,2.668968027400465438e-03
1.650574514324730730e-03,1.579625186531964653e-03,2.503733283935735340e-03
1.591405156640999814e-03,1.500788249280833033e-03,2.402110444330779471e-03
1.504598441951381311e-03,1.447738610164729786e-03,2.314035441879270464e-03
1.454693268657081566e-03,1.379990130401739096e-03,2.210662968544417802e-03
1.394991529471031411e-03,1.329271275657217463e-03,2.116718506129747993e-03
1.343459074559568128e-03,1.279390730794332208e-03,2.059373506505377330e-03
1.318015022309355390e-03,1.247810934043014830e-03,1.971620442026424461e-03
1.264767096196725690e-03,1.219227793545337325e-03,1.921131422246639747e-03
1.223340078241478461e-03,1.181741318933204974e-03,1.863252284843664635e-03
1.197753983934965157e-03,1.156837346194374569e-03,1.819764062089574341e-03
1.151459739331312827e-03,1.104392587210514419e-03,1.754655667528574881e-03
1.131281104484463656e-03,1.078218760765153493e-03,1.745899484688915714e-03
1.106888392513609605e-03,1.065834825270714492e-03,1.682120492455011721e-03
1.074934090336486601e-03,1.039624443744408466e-03,1.631940658210934885e-03
1.062994631306655871e-03,1.016299543342707220e-03,1.609527853965650717e-03
1.041213814228912193e-03,9.954944610439055066e-04,1.574256030972422549e-03
1.017711224913194542e-03,9.774131786468018886e-04,1.543692858904156286e-03
9.894037469445836862e-04,9.562781906326657620e-04,1.525841200389515097e-03
