AD_wx (rad/s),AD_wy (rad/s),AD_wz (rad/s)
7.262383115098930029e-04,7.272506829505498774e-04,7.242751195674161082e-04
5.118715268293206255e-04,5.165450126344882723e-04,5.133553714551566255e-04
4.189455869385648565e-04,4.195955112110988806e-04,4.197714788498893091e-04
3.621459780867837346e-04,3.647889169880328742e-04,3.625514717514858221e-04
3.251787200792975361e-04,3.245223608980515092e-04,3.233033104991139871e-04
2.959940407307213119e-04,2.981018852093720553e-04,2.949089284260008768e-04
2.735588517750757909e-04,2.737242866963454668e-04,2.725451503300112569e-04
2.557214121062892928e-04,2.576164559257571171e-04,2.554000986314552447e-04
2.418761341715234192e-04,2.426518170550136309e-04,2.409525724354252667e-04
2.302024212278685198e-04,2.282985695159109817e-04,2.283140701377789361e-04
2.171034754935125769e-04,2.185408950898747287e-04,2.193841949947951170e-04
2.097096781202542387e-04,2.101459656027799053e-04,2.114535310713964772e-04
2.026293802268401263e-04,2.010374596625858737e-04,1.990128556646533742e-04
1.909131830138392652e-04,1.927904660842338458e-04,1.938732694583150684e-04
1.888823802089682031e-04,1.850133457670229088e-04,1.881801662388630386e-04
1.818921166814500780e-04,1.817130608722704809e-04,1.837462790595653444e-04
1.759028195525398435e-04,1.760601594150036772e-04,1.769597998097392419e-04
1.696513254059315223e-04,1.688452709286568832e-04,1.736146577886458402e-04
1.676447369597368570e-04,1.651615645094166285e-04,1.670429521421261333e-04
1.611689273704376029e-04,1.599300966475668165e-04,1.636763436008613825e-04
1.561644733903469733e-04,1.578064907065675562e-04,1.606546052109722770e-04
1.527449457135775311e-04,1.550361829495638076e-04,1.569081663333283594e-04
1.506465173906743516e-04,1.503717911388438360e-04,1.530609434736109791e-04
1.464778804166238287e-04,1.455604859024780390e-04,1.502799442289964123e-04
1.428072923233687753e-04,1.445315788774439612e-04,1.472516168697528055e-04
1.418889370018694125e-04,1.421901657522131894e-04,1.438872000510516653e-04
1.382925643545411911e-04,1.381059894529168639e-04,1.412869088533173821e-04
1.350904718172583408e-04,1.352782015750476029e-04,1.385682802160594139e-04
1.336571793370273497e-04,1.345656786591646289e-04,1.367344462096106651e-04
1.325920648979365057e-04,1.292319184675292689e-04,1.356067235668747943e-04
1.299630872520378996e-04,1.299029655291368307e-04,1.328892970149490611e-04
1.289633198401478884e-04,1.280090766677990900e-04,1.290755324011755886e-04
1.261573989645283574e-04,1.248881155096626810e-04,1.289085875781342122e-04
1.259725393356105885e-04,1.233370381487771620e-04,1.267109624814550075e-04
1.225531138608492332e-04,1.207272374040203904e-04,1.241140218501854094e-04
1.219261578639379976e-04,1.203621331247360854e-04,1.234350504000764461e-04
1.192871690774404417e-04,1.193325719313147149e-04,1.211523446201983803e-04
1.174524968110444924e-04,1.165084448142897209e-04,1.190199374714608863e-04
1.168243686860292888e-04,1.147508188828842148e-04,1.188090430260041805e-04
1.160075645755976736e-04,1.118719565355863748e-04,1.146988979552303328e-04
1.138207646249530256e-04,1.109446300113081917e-04,1.176708040911368853e-04
1.134644633964413193e-04,1.119431528793964070e-04,1.153572906592363850e-04
1.128226738104430273e-04,1.109186049431751405e-04,1.129666537752246604e-04
1.097328093198752895e-04,1.078670897600266166e-04,1.138901213408698832e-04
1.099744569660996996e-04,1.081678246749661156e-04,1.115261345985099525e-04
1.064085247878018934e-04,1.039345402915965353e-04,1.072788714292192698e-04
1.063904048669479671e-04,1.042553485230046293e-04,1.084093838747020164e-04
1.047400060736345323e-04,1.045218125699739510e-04,1.062959146465322711e-04
1.060975979631275377e-04,1.038358530266538681e-04,1.059359945896489017e-04
1.066563788795595654e-04,9.996973782860622717e-05,1.067001759806794831e-04
1.029832825069074750e-04,1.020302868931248003e-04,1.010903208705569544e-04
1.040797961382072031e-04,1.019187542346951621e-04,1.010930639488256483e-04
1.023442158531486635e-04,9.797195313086882779e-05,1.028712735269949295e-04
1.018268736321062976e-04,9.903592367993221306e-05,1.013687583196649380e-04
9.921323195056113472e-05,9.670164508068917748e-05,1.006620996753488593e-04
9.826428501987897492e-05,9.440733645974438959e-05,9.974552229407844420e-05
9.645911298593177379e-05,9.592579887153305357e-05,9.752777059210723093e-05
9.496386514332078499e-05,9.562644697674565065e-05,9.685396544761752451e-05
9.487068960661092861e-05,9.467239575125434921e-05,9.535550220185026629e-05
9.472281021497882668e-05,9.409704058185291834e-05,9.655581483925142466e-05
9.323453060298522352e-05,9.123616744070765317e-05,9.600366110092519237e-05
9.364377577033570403e-05,9.189938550878880036e-05,9.557289869282709137e-05
9.101601954610039904e-05,9.133214524401771261e-05,9.209889864058310111e-05
9.041320688601560580e-05,9.006323407053439347e-05,9.280330726936226972e-05
9.082264504179218877e-05,9.081756773381591372e-05,8.961285059092013549e-05
8.885419626949555617e-05,8.807185858924020919e-05,9.231579623942873345e-05
8.890428338741672432e-05,8.705379516450110610e-05,9.085342909781834553e-05
8.952916760068321269e-05,8.914349258758456950e-05,8.965587612135583772e-05
8.898827981874849000e-05,8.883944583911883210e-05,8.857685095695441062e-05
8.725705075113343384e-05,8.529548197778166264e-05,8.765418083575167159e-05
8.718335043347062122e-05,8.677733799931947750e-05,8.781507386933066778e-05
8.567088634102314377e-05,8.597703609392361981e-05,8.871880566033091612e-05
8.595760859342770532e-05,8.607932265758828352e-05,8.524350014738066111e-05
8.495780616769238252e-05,8.442363932528180309e-05,8.617944907301666355e-05
8.407769497791485870e-05,8.514546216734582870e-05,8.601314309611092013e-05
8.293715542071986859e-05,8.104566891090804882e-05,8.543144073485597564e-05
8.223341724114904437e-05,8.381281586204723571e-05,8.625676236073188431e-05
8.386506228910422416e-05,8.112302451058170415e-05,8.273068649478329041e-05
8.135096901145244389e-05,8.212326963767281195e-05,8.190277943553914456e-05
8.287626230511123621e-05,8.294879456020751119e-05,8.296630460587767620e-05
8.056447544266197541e-05,8.115693291302420983e-05,8.348063807953451561e-05
7.986034280619087519e-05,7.961911521252654222e-05,8.231196819802844239e-05
7.884757314379716483e-05,8.037726112315076430e-05,8.154868659704636092e-05
7.694348838935520117e-05,7.940917872494894177e-05,8.075886363629334111e-05
7.970638490669902816e-05,8.095843526120334772e-05,7.776190634157177011e-05
7.870035094340851805e-05,7.876364384343619821e-05,7.881357685917446127e-05
7.909314694959756055e-05,7.533530775251716480e-05,7.939444499496774654e-05
7.891098684388273574e-05,7.682561098163033064e-05,7.840562027503153865e-05
7.548492799788327433e-05,7.690646163137244962e-05,7.828506060787536729e-05
7.709089707611817797e-05,7.674892194440136029e-05,7.683490502039288627e-05
7.727404389249508602e-05,7.737206853791506623e-05,7.729532593428708521e-05
7.367641394499818306e-05,7.656313921790621087e-05,7.730367745745656233e-05
7.469080595005745640e-05,7.616316731911287907e-05,7.642206732307420670e-05
7.533916968015635083e-05,7.482513616395942361e-05,7.392940187109512046e-05
7.451008011008036997e-05,7.501601624169947438e-05,7.463241646988188246e-05
7.248009898617660670e-05,7.483339496062938053e-05,7.379907746594104034e-05
7.421702658974862977e-05,7.516807134617513883e-05,7.664076655217169826e-05
7.364311303288802125e-05,7.318592017374911201e-05,7.501343733470026845e-05
7.126188598367507766e-05,7.309802789387992482e-05,7.597068266853054363e-05
7.212921725418530434e-05,7.237494670170759568e-05,7.421958599027130997e-05
7.328164539519329407e-05,7.191682296321444184e-05,7.374508204987376462e-05
6.949528374389526660e-05,7.208262984441928748e-05,7.394990002931474122e-05
7.094947521889955182e-05,7.157877680998478410e-05,7.158740026506137479e-05
7.116443741422926600e-05,7.118988252738350081e-05,6.976545855498943779e-05
6.958224696509634848e-05,7.204389347423584159e-05,7.068822886267472710e-05
7.100525614241752677e-05,6.888486824691544472e-05,7.264131781377486104e-05
7.010693096594762487e-05,7.037302588120581423e-05,6.877823527747829735e-05
6.908111071041870882e-05,6.924732095717077613e-05,7.092949128270541951e-05
6.911901041225963695e-05,6.925918497058723645e-05,7.083341223858196571e-05
6.748277149561740659e-05,7.003919274758351702e-05,7.151238128167104670e-05
6.814925594412617757e-05,6.860260596467224377e-05,7.136427286829546697e-05
6.857368251601200510e-05,6.864810518986300223e-05,6.997214519055688377e-05
6.729656363147944805e-05,6.813778247845262586e-05,6.975763388812520705e-05
6.811141503712501446e-05,6.738186016882494547e-05,6.844387131329776597e-05
6.500253217693091254e-05,6.708458812625488752e-05,6.913168637335439224e-05
6.527551164305641447e-05,6.714521680153259981e-05,6.904911009047615968e-05
6.553061413216782676e-05,6.803072559756969686e-05,6.674823354561399205e-05
6.648852281169754380e-05,6.790784336266061721e-05,6.471499257925868458e-05
6.664777417787079113e-05,6.708803606039408327e-05,6.700358533973700280e-05
6.503046201293644578e-05,6.668458841729023496e-05,6.797193304923306750e-05
6.395362224132341081e-05,6.471059064744708489e-05,6.826329884930393949e-05
6.481685550186724789e-05,6.773445123992372151e-05,6.868996856562511609e-05
6.416170906258802063e-05,6.615305870990667537e-05,6.734615055259857456e-05
6.328544438306119338e-05,6.817353676934522551e-05,6.641548250916480512e-05
6.439849843993246479e-05,6.650391313204126334e-05,6.623731873744091020e-05
6.328924508639315277e-05,6.551125178537238090e-05,6.466206202806608588e-05
6.335033043667564307e-05,6.650169755157323112e-05,6.549146642430613366e-05
6.340661641288615675e-05,6.210775789313189980e-05,6.433739703650095715e-05
6.476910884679456322e-05,6.456925025324589888e-05,6.530732644150736036e-05
6.159065648048082779e-05,6.374559973804661277e-05,6.353040111413623293e-05
6.180605592267532855e-05,6.389985828684747007e-05,6.420212165551176132e-05
6.086539134778711055e-05,6.311001647411110780e-05,6.486311026689741159e-05
5.982261268538193881e-05,6.339410858646143357e-05,6.476640925487512940e-05
5.980547718344346935e-05,6.321478035382351946e-05,6.221162254299496958e-05
6.058875331153365252e-05,6.113856305666400697e-05,6.449630110382794735e-05
6.133806512731524449e-05,6.179181079009489876e-05,6.351118542121020111e-05
6.036641375239495299e-05,6.270814710782694735e-05,6.100485800436432820e-05
6.134194356621368218e-05,6.307773900043516576e-05,6.158363162737232250e-05
5.939721280518371301e-05,6.118949438946288055e-05,6.127614763590377429e-05
5.842563052565895754e-05,6.067647102646272708e-05,6.056035701352658029e-05
5.960698654583512806e-05,6.314922663006810688e-05,6.284646916253502176e-05
6.048155459808867785e-05,6.288795953799122763e-05,6.105515703468640597e-05
5.787052607260450524e-05,5.978388775677288575e-05,5.993078166785244487e-05
6.001676923139964297e-05,6.242051382856288427e-05,6.142078093718407851e-05
5.817234501095198875e-05,5.999274710446802350e-05,6.270402299352043269e-05
6.023286359435764148e-05,6.231162981291471850e-05,6.160503392317995643e-05
5.947151805949761079e-05,6.116187447039449926e-05,6.182818845429450595e-05
5.739155521091307896e-05,6.063671628203582737e-05,6.136080339458121688e-05
5.837545945952044750e-05,6.123819777595349077e-05,6.199340014460945098e-05
5.722058289927597067e-05,6.014433796240619437e-05,6.178334470967268609e-05
5.801534951985262820e-05,6.095714084284133588e-05,6.017754944997123545e-05
5.778456468740633288e-05,5.822200366462159071e-05,5.888323898276232960e-05
5.833895261039704819e-05,5.901099569526956719e-05,6.026065948108203727e-05
5.718012119266733634e-05,5.845938251495043662e-05,5.995036803835307617e-05
5.658291906830402733e-05,5.879441387281132057e-05,6.147937475129305223e-05
5.755284971501628571e-05,5.871763056608816868e-05,5.859975363970143915e-05
5.730231157532258442e-05,5.797330604839162838e-05,6.020000996490384066e-05
5.730092353687066639e-05,5.884684809359672569e-05,5.778727804426532651e-05
5.490296000448709597e-05,5.824113918458574560e-05,5.865471702477682419e-05
5.754569068265559181e-05,5.789599161743967079e-05,5.753437392281790194e-05
5.573578779505958871e-05,5.751058000446261328e-05,6.092221616178968431e-05
5.634649820774242094e-05,5.917380038401675826e-05,5.816508999648938299e-05
5.523467064423823620e-05,5.808727432555732762e-05,5.780526519972134085e-05
5.573817672320476914e-05,5.769686266895684941e-05,5.889258351668543514e-05
5.459618969143099660e-05,5.711454383989428339e-05,5.773321124714984989e-05
5.262750655461049599e-05,5.695521312370230640e-05,5.888044731807454769e-05
5.444035199385931277e-05,5.735678589313496353e-05,5.627231259770907647e-05
5.359660054105429018e-05,5.655223888131644420e-05,5.682453904907401035e-05
5.561461777896143001e-05,5.729747435487619694e-05,5.646884252103652073e-05
5.540799897419308739e-05,5.653155247496689605e-05,5.408460029211033737e-05
5.452376512016989126e-05,5.675102022374830732e-05,5.690330359442030158e-05
5.571132859096668087e-05,5.709291729363031714e-05,5.573597758518634553e-05
5.404677545100445180e-05,5.718993655344763253e-05,5.607427729180178294e-05
5.339396806155790584e-05,5.480399660752378486e-05,5.771003750812871158e-05
5.496074692469980679e-05,5.760111795632011253e-05,5.605962495505951109e-05
5.504594921824135413e-05,5.683790060605210093e-05,5.649138717540109280e-05
5.404211811402230147e-05,5.759182222698813308e-05,5.538752155096063275e-05
5.282610998283270856e-05,5.499536473850281243e-05,5.665369680177536542e-05
5.321191966789959711e-05,5.612695428623743795e-05,5.553548178351399922e-05
5.295507880937422535e-05,5.599225829576831402e-05,5.463219941247937590e-05
5.514576362421036822e-05,5.515812835628847784e-05,5.367836471753882041e-05
5.344145836700896598e-05,5.520952278825698618e-05,5.500044115894206823e-05
5.107026837508192054e-05,5.374701311123392632e-05,5.492477431742740141e-05
5.179000447046614255e-05,5.488086093049438554e-05,5.481263033280024081e-05
5.302281929225580485e-05,5.484879066906040346e-05,5.309197845537445924e-05
5.236543209713628757e-05,5.503302806227862231e-05,5.590291163452547910e-05
5.231757923178068407e-05,5.399622140785946322e-05,5.393103458209055066e-05
5.122488958083398661e-05,5.371076137178609202e-05,5.471549055672395218e-05
5.110304750914112035e-05,5.357364742369721019e-05,5.512699632677126889e-05
5.213478911592408642e-05,5.280767807184626200e-05,5.304188287511254541e-05
5.216457125251263002e-05,5.582814358412554779e-05,5.493134032776052022e-05
5.026929851185183665e-05,5.213762391158802844e-05,5.367152714394100795e-05
5.121511451037968400e-05,5.245447712332250944e-05,5.495990630536483562e-05
5.236038938634045937e-05,5.547636423514201568e-05,5.433875148212502260e-05
5.039787149247878731e-05,5.224367566621155971e-05,5.241179951731016233e-05
5.170601767648535271e-05,5.198483779527963934e-05,5.262438158467926938e-05
5.030366406012423398e-05,5.423762909429536338e-05,5.034028319410835715e-05
5.113137287586830672e-05,5.281778778350021663e-05,5.549137111074930984e-05
5.068014874195857873e-05,5.416498722742907654e-05,5.246253726164493592e-05
5.218429524429706924e-05,5.068644643034646849e-05,5.236301379189089452e-05
5.221111043291961636e-05,5.032276502642091899e-05,5.311037377030904686e-05
5.082161372512997497e-05,5.320420324483732927e-05,5.098006610878344226e-05
5.019565579187763941e-05,5.065603368075851059e-05,5.176109574672800476e-05
5.054672773308061781e-05,5.248504963986514501e-05,5.289424569109124310e-05
4.844441376756271231e-05,5.040799773355702850e-05,5.156185800911967530e-05
